pi_time,state_time,mot_ang,mot_vel,mot_acc,mot_volt,mot_cur,batt_volt,batt_curr,temperature,status_mn,status_ex,status_re,ank_ang
1713469428.6381714,7232455,733,-6,1,-352,-1262,23942,271,36,79,0,0,3903
1713469428.642166,7232459,733,4,1,-344,-1264,23942,271,36,79,0,0,3903
1713469428.6461701,7232463,732,-4,2,-352,-1266,23943,281,36,79,0,0,3902
1713469428.6501672,7232467,733,2,-2,-344,-1266,23943,281,36,79,0,0,3902
1713469428.654166,7232471,733,1,-1,-352,-1263,23945,267,36,79,0,0,3902
1713469428.658311,7232475,733,-2,-2,-352,-1263,23945,267,36,79,0,0,3903
1713469428.662167,7232479,732,-4,0,-352,-1266,23945,267,36,79,0,0,3902
1713469428.6661682,7232483,733,8,4,-352,-1268,23947,266,36,79,0,0,3903
1713469428.6701674,7232487,733,1,3,-352,-1267,23947,266,36,79,0,0,3902
1713469428.674164,7232491,733,2,-3,-352,-1267,23945,250,36,79,0,0,3902
1713469428.6782055,7232495,732,-7,2,-352,-1269,23945,250,36,79,0,0,3902
1713469428.6821706,7232499,732,1,-2,-360,-1267,23945,250,36,79,0,0,3902
1713469428.68617,7232503,733,1,-2,-344,-1262,23945,260,36,79,0,0,3901
1713469428.6902132,7232506,733,0,-2,-352,-1266,23945,260,36,79,0,0,3902
1713469428.69417,7232511,733,-1,-3,-344,-1268,23949,245,36,79,0,0,3902
1713469428.698173,7232515,733,1,3,-352,-1269,23949,245,36,79,0,0,3903
1713469428.7021809,7232519,733,1,-1,-352,-1265,23949,245,36,79,0,0,3902
1713469428.70618,7232523,733,0,-1,-352,-1267,23955,253,36,79,0,0,3902
